   51, 11620, 16834, 32767,    -4,  1103,    -1, 18534,     1,   -10,     0,     0,     0,    -4,    -1,     0,     0
   52, 11619, 16830, 32765,    -6,  1225,    -2, 21761,     1,   -12,    -2,     0,     0,    -2,     1,     0,     0
   53, 11619, 16831, 32766,   -10,  1333,     0, 24640,     2,   -13,    -1,     0,     0,    -4,     0,     0,    -1
   54, 11619, 16838, 32765,   -11,  1419,    -1, 27137,     2,   -15,     0,     0,     0,    -4,     0,     0,     0
   55, 11619, 16842, 32764,   -13,  1486,    -1, 29203,     2,   -16,     0,     0,     0,    -3,     1,     0,     1
   56, 11619, 16831, 32765,   -15,  1535,    -1, 30803,     1,   -16,    -1,     0,     0,    -3,     0,     0,     0
   57, 11619, 16837, 32766,   -18,  1558,    -2, 31916,     3,   -15,    -1,     0,     0,    -2,     1,     0,     0
   58, 11619, 16837, 32767,   -18,  1559,    -2, 32527,     3,   -18,     0,     0,     0,    -2,    -1,     0,    -1
   59, 11619, 16836, 32767,   -20,  1537,    -1, 32617,     2,   -17,    -1,     0,     0,    -3,     0,     0,    -2
   60, 11618, 16832, 32767,   -22,  1496,    -1, 32192,     1,   -16,     0,     0,     0,    -3,     0,     0,     0
   61, 11619, 16833, 32767,   -24,  1434,    -2, 31265,     2,   -15,    -1,     0,     0,    -2,     0,     0,    -1
   62, 11618, 16836, 32766,   -23,  1347,    -1, 29843,     3,   -15,    -1,     0,     0,    -3,     0,     0,    -1
   63, 11619, 16839, 32766,   -25,  1243,    -1, 27949,     2,   -15,    -1,     0,     0,    -3,     0,     0,    -1
   64, 11620, 16830, 32766,   -24,  1121,    -1, 25611,     2,   -14,    -1,     0,     0,    -3,     0,     0,    -1
   65, 11618, 16837, 32767,   -24,   986,    -1, 22864,     2,   -12,    -2,     0,     0,    -4,    -1,     0,     1
   66, 11619, 16832, 32767,   -25,   835,    -1, 19755,     2,   -10,    -1,     0,     0,    -5,    -1,     0,     0
   67, 11619, 16842, 32767,   -23,   672,     0, 16333,     3,   -10,     0,     0,     0,    -4,     0,     0,     0
   68, 11620, 16829, 32765,   -23,   499,    -1, 12654,     2,    -8,     0,     0,     0,    -2,    -1,     0,    -2
   69, 11619, 16838, 32767,   -21,   325,    -1,  8772,     1,    -5,     0,     0,     0,    -3,     0,     0,    -1
   70, 11620, 16830, 32765,   -21,   146,    -2,  4749,     1,    -4,    -1,     0,     0,    -2,     0,     0,     0
